id,cliente_id,oferta_id,resultado,fecha_hora,notas_asesor
HIS-1786202461109,CLI002483,OF001,aceptada,2026-08-08 10:21:01,Prueba de trazabilidad
HIS-1786203191665,CLI002483,OF001,aceptada,2026-08-08 10:33:11,
HIS-1786203498056,CLI002483,Paquete Seguridad Digital,rechazada,2026-08-08 10:38:18,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786203511845,CLI084107,Paquete Seguridad Digital,aceptada,2026-08-08 10:38:31,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786212168951,CLI002483,Paquete Seguridad Digital,mostrada,2026-08-08 13:02:48,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786213771220,CLI002483,OF018,aceptada,2026-08-08 13:29:31,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786672216632,CLI063641,OF020,mostrada,2026-08-13 20:50:16,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786673714651,CLI043954,OF021,mostrada,2026-08-13 21:15:14,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786675212292,CLI063641,OF020,aceptada,2026-08-13 21:40:12,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786919151492,CLI001336,OF018,aceptada,2026-08-16 17:25:51,Registrado desde Ficha de Recomendación Movistar IQ
HIS-1786919444260,CLI059650,OF020,rechazada,2026-08-16 17:30:44,Registrado desde Ficha de Recomendación Movistar IQ
